id_via,nombre_via,id_via_cruzada,nombre_via_cruzada,tipo_via,x,y
127,CALLE DE ISABEL COLBRAND,2792,CALLE DE CASTIELLO DE JACA,CALLE                   ,44260746,448479753
127,CALLE DE ISABEL COLBRAND,1837,CALLE DE FEDERICO MOMPOU,CALLE                   ,44260732,448479748
127,CALLE DE ISABEL COLBRAND,87100,CALLE DE MARÍA TUBAU,CALLE                   ,44290433,448494484
127,CALLE DE ISABEL COLBRAND,2793,PASEO DE TIERRA DE MELIDE,CALLE                   ,44320997,448510385
127,CALLE DE ISABEL COLBRAND,2794,CALLE DE PORTOMARÍN,CALLE                   ,44322285,448530840
127,CALLE DE ISABEL COLBRAND,313425,CARRETERA DE FUENCARRAL A ALCOBENDAS,CALLE                   ,44322976,448542753
150,CALLE DE GONZÁLEZ DÁVILA,789500,CARRETERA DE VILLAVERDE A VALLECAS,CALLE                   ,44597548,446958660
150,CALLE DE GONZÁLEZ DÁVILA,2275,CALLE DEL GAMONAL,CALLE                   ,44592921,446971597
150,CALLE DE GONZÁLEZ DÁVILA,364900,CAMINO DE LAS HORMIGUERAS,CALLE                   ,44588510,446986420
150,CALLE DE GONZÁLEZ DÁVILA,319000,CALLE DE LUIS I,CALLE                   ,44584029,447000847
200,CALLE DE LA ABADA,656500,CALLE DE LA SALUD,CALLE                   ,44040735,447469007
200,CALLE DE LA ABADA,505100,CALLE DE MESONERO ROMANOS,CALLE                   ,44035124,447475670
200,CALLE DE LA ABADA,202800,CALLE DE CONCEPCIÓN ARENAL,CALLE                   ,44031419,447484720
200,CALLE DE LA ABADA,342950,CALLE GRAN VÍA,CALLE                   ,44031419,447484720
300,CALLE DE LOS ABADES,789100,CALLE DE EDUARDO BARREIROS,CALLE                   ,44074694,446861668
300,CALLE DE LOS ABADES,262000,CALLE DE EMBAJADORES,CALLE                   ,44019818,447368114
300,CALLE DE LOS ABADES,505000,CALLE DEL MESÓN DE PAREDES,CALLE                   ,44034139,447374737
400,CALLE DE LA ABADESA,643000,CALLE DE ROBLEDO,CALLE                   ,44040052,447975862
400,CALLE DE LA ABADESA,86600,CALLE DE LAS AZUCENAS,CALLE                   ,44040272,447979914
400,CALLE DE LA ABADESA,538100,CALLE DE NUESTRA SEÑORA DE LOS DOLORES,CALLE                   ,44040272,447979914
600,CALLE DE ÁBALOS,153000,PLAZA DE CASTAÑARES,CALLE                   ,44438467,447822146
600,CALLE DE ÁBALOS,169200,CALLE DE CIDAMÓN,CALLE                   ,44438467,447822146
600,CALLE DE ÁBALOS,552400,PLAZA DE ORTIGOSA,CALLE                   ,44440705,447823828
600,CALLE DE ÁBALOS,7000,CALLE DE AGASTIA,CALLE                   ,44456934,447816573
700,CALLE DEL ABANICO,562200,CALLE DE LA PAÑERÍA,CALLE                   ,44740307,447555986
700,CALLE DEL ABANICO,737900,CALLE DE LOS TEJEDORES,CALLE                   ,44736416,447563177
